run,state,level,base,fixing,contiguity,symmetry,extended,order,heuristic,lp,k,L,U,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,LP_obj,LP_time,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,callbacks,lazy_cuts,connected
run1,ME,county,labeling,True,lcut,default,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,19,1,6,5,n/a,n/a,16,16.0,0.15,3600,2,330,26,36,True
run2,NM,county,labeling,True,lcut,default,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.18,60,3,57,31,27,69,n/a,n/a,17,17.0,0.12,3600,2,13,2,0,True
run3,ID,county,labeling,True,lcut,default,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.04,60,1,33,1,27,5,n/a,n/a,10,10.0,0.08,3600,2,10,2,0,True
run4,WV,county,labeling,True,lcut,default,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.81,60,3,87,1,25,14,n/a,n/a,23,23.0,1.20,3600,2,3004,10,19,True
run5,LA,county,labeling,True,lcut,default,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,31.37,60,15,303,23,36,80,n/a,n/a,48,48.99999999999999,183.27,3600,2,160198,135,1071,True
run6,AL,county,labeling,True,lcut,default,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.05,60,21,301,90,90,287,n/a,n/a,55,55.0,1154.81,3600,2,1022973,11,14,True
run7,AR,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,23.83,60,6,158,1,34,20,n/a,n/a,33,33.0,29.59,3600,2,41403,3,1,True
run8,OK,county,labeling,True,lcut,default,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.70,60,10,295,87,51,250,n/a,n/a,40,40.0,7.61,3600,2,7598,2,0,True
run9,MS,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.06,60,6,182,1,35,20,n/a,n/a,34,34.0,78.89,3600,2,159044,9,8,True
run10,NE,county,labeling,True,lcut,default,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.36,60,3,192,8,57,13,n/a,n/a,19,19.0,0.97,3600,2,611,2,0,True
run11,IA,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,757781,765396,99,222,33,560.04,10000,4,85,60.06,60,6,214,1,44,17,n/a,n/a,33,33.0,47.53,3600,2,47784,2,0,True
run12,KS,county,labeling,True,lcut,default,True,B_decreasing,True,False,4,709714,716845,105,263,32,1281.95,10000,4,95,12.69,60,6,270,11,111,34,n/a,n/a,32,32.0,10.37,3600,2,5794,5,4,True
run13,NH,tract,labeling,True,lcut,default,True,B_decreasing,True,False,2,654944,661526,295,786,27,1380.69,10000,2,283,7.48,60,1,291,1,149,7,n/a,n/a,26,26.0,4.44,3600,2,3500,3,0,True
run14,ID,tract,labeling,True,lcut,default,True,B_decreasing,True,False,2,779873,787709,298,792,17,2836.42,10000,2,291,2.50,60,1,185,1,205,11,n/a,n/a,17,17.0,2.59,3600,2,3395,3,2,True
run15,ME,tract,labeling,True,lcut,default,True,B_decreasing,True,False,2,660860,667501,358,999,20,2453.25,10000,2,349,3.23,60,1,349,1,183,8,n/a,n/a,20,20.0,4.91,3600,2,7023,2,0,True
run16,WV,tract,labeling,True,lcut,default,True,B_decreasing,True,False,3,614577,620752,484,1266,47,2285.95,10000,3,467,60.15,60,3,837,1,204,18,n/a,n/a,43,43.0,93.46,3600,2,7574,9,10,True
run17,NM,tract,labeling,True,lcut,default,True,B_decreasing,True,False,3,682962,689824,499,1335,46,2343.16,10000,3,485,60.04,60,3,816,1,226,24,n/a,n/a,43,43.0,79.11,3600,2,10853,3,0,True
run18,NE,tract,labeling,True,lcut,default,True,B_decreasing,True,False,3,605737,611824,532,1369,48,1788.45,10000,3,513,60.09,60,3,534,1,353,13,n/a,n/a,44,44.0,229.50,3600,2,15173,5,1,True
run19,UT,tract,labeling,True,lcut,default,True,B_decreasing,True,False,4,687517,694426,588,1605,90,2697.69,10000,4,556,60.06,60,6,1730,1,154,37,n/a,n/a,80,70.0,3600.12,3600,9,122977,38,52,True
run20,MS,tract,labeling,True,lcut,default,True,B_decreasing,True,False,4,738116,745533,664,1784,68,2128.48,10000,4,634,60.14,60,6,954,1,424,23,n/a,n/a,63,48.0,3600.15,3600,9,42326,6,0,True
run21,AR,tract,labeling,True,lcut,default,True,B_decreasing,True,False,4,725335,732624,686,1858,78,2194.78,10000,4,653,60.04,60,6,1590,1,287,23,n/a,n/a,71,44.0,3600.14,3600,9,32511,11,4,True
run22,NV,tract,labeling,True,lcut,default,True,B_decreasing,True,False,4,671763,678513,687,1781,89,2385.92,10000,4,655,60.14,60,6,1634,1,277,42,n/a,n/a,77,58.0,3600.14,3600,9,36247,35,48,True
run23,ME,county,labeling,True,lcut,aggressive,True,B_decreasing,False,False,2,660860,667501,16,34,n/a,n/a,n/a,2,13,0.03,60,1,19,1,6,5,n/a,n/a,16,16.0,0.16,3600,2,330,26,36,True
run24,NM,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,682962,689824,33,78,17,158.72,10000,3,28,0.22,60,3,57,31,27,69,n/a,n/a,17,17.0,0.12,3600,2,13,2,0,True
run25,ID,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,2,779873,787709,44,102,10,538.52,10000,2,41,0.05,60,1,33,1,27,5,n/a,n/a,10,10.0,0.09,3600,2,10,2,0,True
run26,WV,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,614577,620752,55,125,23,794.37,10000,3,48,3.80,60,3,87,1,25,14,n/a,n/a,23,23.0,1.21,3600,2,3004,10,19,True
run27,LA,county,labeling,True,lcut,aggressive,True,B_decreasing,False,False,6,751785,759339,64,160,n/a,n/a,n/a,6,53,30.62,60,15,303,23,36,80,n/a,n/a,48,48.99999999999999,181.42,3600,2,160198,135,1071,True
run28,AL,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,7,679406,686233,67,171,55,275.48,10000,7,52,60.04,60,21,301,90,90,287,n/a,n/a,55,55.0,1151.81,3600,2,1022973,11,14,True
run29,AR,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,725335,732624,75,192,33,420.52,10000,4,64,24.13,60,6,158,1,34,20,n/a,n/a,33,33.0,30.03,3600,2,41403,3,1,True
run30,OK,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,5,746519,754021,77,195,40,379.33,10000,5,64,20.75,60,10,295,87,51,250,n/a,n/a,40,40.0,7.58,3600,2,7598,2,0,True
run31,MS,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,4,738116,745533,82,202,34,546.18,10000,4,69,60.11,60,6,182,1,35,20,n/a,n/a,34,34.0,78.84,3600,2,159044,9,8,True
run32,NE,county,labeling,True,lcut,aggressive,True,B_decreasing,True,False,3,605737,611824,93,231,19,278.07,10000,3,86,2.44,60,3,192,8,57,13,n/a,n/a,19,19.0,0.95,3600,2,611,2,0,True
